year_week_iso,reporting_country,num_doses_recv,num_doses_exported,first_dose,first_dose_refused,second_dose,unknown_dose,target_group,vaccine
01/01/2022,EE,7794,9533,6628,71,863,87,ALL,AZ
01/01/2022,EE,289,7611,6065,52,265,48,ALL,BECNBG
01/01/2022,EE,755,2225,3821,27,715,12,ALL,BHACOV
01/01/2022,EE,4390,8832,9039,34,122,55,ALL,CHU
01/01/2022,EE,1953,9375,430,68,428,20,ALL,COM
01/01/2022,EE,8008,3756,3699,23,418,81,ALL,CVAC
01/01/2022,EE,7348,4936,5432,67,749,37,ALL,JANSS
01/01/2022,EE,2356,1104,2152,65,900,93,ALL,HAYATVAC
01/01/2022,EE,6146,1744,8820,78,50,83,ALL,MOD
01/01/2022,EE,9513,2662,6958,35,931,17,ALL,NVX
01/01/2022,EE,9710,1912,4277,77,684,57,ALL,NVXD
01/01/2022,EE,164,3638,9495,67,298,32,ALL,QAZVAQ
01/01/2022,EE,2941,8929,456,81,340,13,ALL,SGSK
01/01/2022,EE,4362,954,5526,4,606,13,ALL,SIICOV
01/01/2022,EE,1684,8236,3531,22,625,80,ALL,SIN
01/01/2022,EE,5161,7967,3660,54,599,47,ALL,SPU
01/01/2022,EE,9550,6015,5676,37,154,29,ALL,SPUL
01/01/2022,EE,8963,9820,432,6,737,4,ALL,SRCVB
01/01/2022,EE,9597,3121,1501,88,741,60,ALL,WUCNBG
01/01/2022,EE,3297,4988,9622,44,451,56,ALL,CNBG
01/01/2022,EE,380,2378,3581,66,724,93,ALL,UNK
01/01/2022,EE,4425,5808,4158,66,425,56,ALL,ZFUZ
01/01/2022,EE,6572,4008,860,14,231,1,Age<18,AZ
01/01/2022,EE,3983,9066,3351,16,108,8,Age<18,BECNBG
01/01/2022,EE,3523,194,1524,45,133,52,Age<18,BHACOV
01/01/2022,EE,5799,5040,7250,14,509,4,Age<18,CHU
01/01/2022,EE,35,4110,7285,28,562,47,Age<18,COM
01/01/2022,EE,1719,9314,3646,0,282,15,Age<18,CVAC
01/01/2022,EE,6727,3241,834,73,141,36,Age<18,JANSS
01/01/2022,EE,6820,8274,5462,32,531,4,Age<18,HAYATVAC
01/01/2022,EE,177,6668,9866,38,246,57,Age<18,MOD
01/01/2022,EE,1619,5375,3402,44,386,68,Age<18,NVX
01/01/2022,EE,1085,5319,5233,56,541,61,Age<18,NVXD
01/01/2022,EE,9078,3125,5138,89,588,19,Age<18,QAZVAQ
01/01/2022,EE,6300,336,5288,85,470,34,Age<18,SGSK
01/01/2022,EE,448,480,5731,73,991,47,Age<18,SIICOV
01/01/2022,EE,3140,9850,237,53,836,69,Age<18,SIN
01/01/2022,EE,8187,3959,6064,99,489,24,Age<18,SPU
01/01/2022,EE,4859,5005,7497,23,722,40,Age<18,SPUL
01/01/2022,EE,5181,16,198,70,203,53,Age<18,SRCVB
01/01/2022,EE,507,8469,289,13,630,69,Age<18,WUCNBG
01/01/2022,EE,5010,5274,9565,0,383,60,Age<18,CNBG
01/01/2022,EE,5736,2161,3341,8,288,98,Age<18,UNK
01/01/2022,EE,4087,1520,7392,38,3,87,Age<18,ZFUZ
01/01/2022,EE,9147,7889,4543,37,449,3,HCW,AZ
01/01/2022,EE,8254,7443,145,100,61,0,HCW,BECNBG
01/01/2022,EE,2675,363,3827,72,921,51,HCW,BHACOV
01/01/2022,EE,1401,6440,8076,9,533,23,HCW,CHU
01/01/2022,EE,6210,1509,8785,19,930,50,HCW,COM
01/01/2022,EE,7307,6232,6307,100,38,43,HCW,CVAC
01/01/2022,EE,8878,241,5098,93,705,68,HCW,JANSS
01/01/2022,EE,5009,6308,1848,22,970,23,HCW,HAYATVAC
01/01/2022,EE,7075,7348,5507,74,531,80,HCW,MOD
01/01/2022,EE,287,200,2775,75,916,52,HCW,NVX
01/01/2022,EE,1179,5305,3723,35,994,87,HCW,NVXD
01/01/2022,EE,1880,4715,4804,95,870,15,HCW,QAZVAQ
01/01/2022,EE,4629,9631,1110,15,845,60,HCW,SGSK
01/01/2022,EE,4811,1045,1595,15,399,23,HCW,SIICOV
01/01/2022,EE,6074,8222,6188,51,332,34,HCW,SIN
01/01/2022,EE,7234,8431,1681,98,959,44,HCW,SPU
01/01/2022,EE,1990,9631,1361,10,957,45,HCW,SPUL
01/01/2022,EE,3774,1007,619,32,700,42,HCW,SRCVB
01/01/2022,EE,1614,3169,9854,7,723,85,HCW,WUCNBG
01/01/2022,EE,4931,6507,6000,84,806,18,HCW,CNBG
01/01/2022,EE,748,7009,3816,68,839,80,HCW,UNK
01/01/2022,EE,6509,1336,1397,66,305,67,HCW,ZFUZ
01/01/2022,EE,8081,8405,9824,39,569,70,LTCF,AZ
01/01/2022,EE,1444,5094,9669,35,110,24,LTCF,BECNBG
01/01/2022,EE,2378,1897,5399,48,450,55,LTCF,BHACOV
01/01/2022,EE,7068,9403,2681,16,809,82,LTCF,CHU
01/01/2022,EE,4349,4533,3016,31,647,34,LTCF,COM
01/01/2022,EE,1894,3545,8238,62,365,71,LTCF,CVAC
01/01/2022,EE,1649,2327,8050,14,444,38,LTCF,JANSS
01/01/2022,EE,7531,686,8106,98,630,88,LTCF,HAYATVAC
01/01/2022,EE,9128,7436,134,100,512,80,LTCF,MOD
01/01/2022,EE,8695,668,7096,100,409,52,LTCF,NVX
01/01/2022,EE,4318,4910,314,5,562,70,LTCF,NVXD
01/01/2022,EE,8343,4656,9445,51,63,99,LTCF,QAZVAQ
01/01/2022,EE,3351,9512,4282,1,707,94,LTCF,SGSK
01/01/2022,EE,9601,1533,3538,68,131,84,LTCF,SIICOV
01/01/2022,EE,6634,4825,5619,77,556,46,LTCF,SIN
01/01/2022,EE,2318,6352,9143,97,974,63,LTCF,SPU
01/01/2022,EE,4587,6707,801,58,894,9,LTCF,SPUL
01/01/2022,EE,6877,6020,8093,83,736,98,LTCF,SRCVB
01/01/2022,EE,9933,9866,2993,13,990,61,LTCF,WUCNBG
01/01/2022,EE,3227,3531,5320,71,410,18,LTCF,CNBG
01/01/2022,EE,9734,6743,4857,4,26,66,LTCF,UNK
01/01/2022,EE,7250,6822,3134,13,618,3,LTCF,ZFUZ
01/01/2022,EE,3965,8756,3189,93,845,17,Age0_4,AZ
01/01/2022,EE,9492,8337,3150,23,205,77,Age0_4,BECNBG
01/01/2022,EE,2477,4308,4482,96,218,14,Age0_4,BHACOV
01/01/2022,EE,8230,669,587,79,680,10,Age0_4,CHU
01/01/2022,EE,3818,4157,1047,23,335,65,Age0_4,COM
01/01/2022,EE,5870,3365,7032,56,506,20,Age0_4,CVAC
01/01/2022,EE,2511,3219,9229,19,735,58,Age0_4,JANSS
01/01/2022,EE,6313,7969,9901,48,215,72,Age0_4,HAYATVAC
01/01/2022,EE,9154,9732,1749,59,814,52,Age0_4,MOD
01/01/2022,EE,6413,6989,4454,97,225,85,Age0_4,NVX
01/01/2022,EE,4891,2600,1814,35,892,84,Age0_4,NVXD
01/01/2022,EE,5858,1121,9383,56,371,33,Age0_4,QAZVAQ
01/01/2022,EE,2455,892,4666,84,620,62,Age0_4,SGSK
01/01/2022,EE,7166,3446,292,62,667,40,Age0_4,SIICOV
01/01/2022,EE,7856,4326,4214,7,33,33,Age0_4,SIN
01/01/2022,EE,8069,8441,3941,50,905,18,Age0_4,SPU
01/01/2022,EE,2190,557,7773,84,758,83,Age0_4,SPUL
01/01/2022,EE,8559,1388,3216,46,830,58,Age0_4,SRCVB
01/01/2022,EE,9034,6715,1565,35,584,56,Age0_4,WUCNBG
01/01/2022,EE,3712,7463,9535,94,496,47,Age0_4,CNBG
01/01/2022,EE,9645,711,9620,51,337,27,Age0_4,UNK
01/01/2022,EE,8954,873,547,16,430,14,Age0_4,ZFUZ
01/01/2022,EE,831,2048,8953,23,689,97,Age5_9,AZ
01/01/2022,EE,4204,8986,1833,16,303,36,Age5_9,BECNBG
01/01/2022,EE,9387,7891,8538,25,124,4,Age5_9,BHACOV
01/01/2022,EE,1740,2373,9725,80,64,6,Age5_9,CHU
01/01/2022,EE,7147,4594,9173,8,6,91,Age5_9,COM
01/01/2022,EE,6166,5922,6164,33,171,34,Age5_9,CVAC
01/01/2022,EE,2246,8394,6662,55,931,80,Age5_9,JANSS
01/01/2022,EE,8703,6126,5616,7,938,96,Age5_9,HAYATVAC
01/01/2022,EE,4856,9560,6954,75,487,67,Age5_9,MOD
