date_rep,day,month,year,cases,deaths,geo_id
01/01/2022,01,01,2022,85696,14,AF
01/01/2022,01,01,2022,82574,20,AL
01/01/2022,01,01,2022,9141,66,DZ
01/01/2022,01,01,2022,90024,17,AS
01/01/2022,01,01,2022,68936,30,AD
01/01/2022,01,01,2022,45526,93,AO
01/01/2022,01,01,2022,20950,86,AI
01/01/2022,01,01,2022,26308,11,AQ
01/01/2022,01,01,2022,90537,76,AG
01/01/2022,01,01,2022,25867,3,AR
01/01/2022,01,01,2022,57187,29,AM
01/01/2022,01,01,2022,95495,11,AW
01/01/2022,01,01,2022,31830,37,AU
01/01/2022,01,01,2022,43422,6,AT
01/01/2022,01,01,2022,36516,17,AZ
01/01/2022,01,01,2022,43697,90,BS
01/01/2022,01,01,2022,73134,83,BH
01/01/2022,01,01,2022,58743,54,BD
01/01/2022,01,01,2022,70159,97,BB
01/01/2022,01,01,2022,87068,16,BY
01/01/2022,01,01,2022,97047,24,BE
01/01/2022,01,01,2022,77793,49,BZ
01/01/2022,01,01,2022,70987,63,BJ
01/01/2022,01,01,2022,17575,73,BM
01/01/2022,01,01,2022,49096,67,BT
01/01/2022,01,01,2022,30645,63,BO
01/01/2022,01,01,2022,34929,72,BA
01/01/2022,01,01,2022,96707,46,BW
01/01/2022,01,01,2022,23559,38,BV
01/01/2022,01,01,2022,86905,30,BR
01/01/2022,01,01,2022,65994,24,IO
01/01/2022,01,01,2022,87517,87,BN
01/01/2022,01,01,2022,99027,21,BN
01/01/2022,01,01,2022,29510,98,BG
01/01/2022,01,01,2022,48826,39,BF
01/01/2022,01,01,2022,60524,3,BI
01/01/2022,01,01,2022,45760,22,KH
01/01/2022,01,01,2022,14380,87,CM
01/01/2022,01,01,2022,6798,6,CA
01/01/2022,01,01,2022,86103,28,CV
01/01/2022,01,01,2022,6024,26,KY
01/01/2022,01,01,2022,95086,52,CF
01/01/2022,01,01,2022,18547,87,TD
01/01/2022,01,01,2022,12862,78,CL
