year_week_iso,reporting_country,num_doses_recv,num_doses_exported,first_dose,first_dose_refused,second_dose,unknown_dose,target_group,vaccine
01/01/2022,KR,3846,3201,5970,14,865,31,ALL,AZ
01/01/2022,KR,9958,8598,7515,72,517,49,ALL,BECNBG
01/01/2022,KR,7487,7768,3344,83,208,31,ALL,BHACOV
01/01/2022,KR,4916,8916,7172,72,389,16,ALL,CHU
01/01/2022,KR,35,2011,6280,52,333,35,ALL,COM
01/01/2022,KR,8038,1137,6415,3,942,85,ALL,CVAC
01/01/2022,KR,8766,5314,4737,34,198,58,ALL,JANSS
01/01/2022,KR,5365,7521,973,47,331,49,ALL,HAYATVAC
01/01/2022,KR,8224,9804,9162,33,78,70,ALL,MOD
01/01/2022,KR,5367,5784,8523,87,292,52,ALL,NVX
01/01/2022,KR,9249,2109,6207,3,956,9,ALL,NVXD
01/01/2022,KR,7109,1269,8711,2,624,4,ALL,QAZVAQ
01/01/2022,KR,570,2122,5385,18,504,78,ALL,SGSK
01/01/2022,KR,9878,1155,5226,90,183,10,ALL,SIICOV
01/01/2022,KR,528,4310,9374,27,586,28,ALL,SIN
01/01/2022,KR,8987,4511,2327,48,484,77,ALL,SPU
01/01/2022,KR,1209,8366,7132,51,236,79,ALL,SPUL
01/01/2022,KR,8649,1621,8132,76,725,7,ALL,SRCVB
01/01/2022,KR,7347,3248,8107,74,380,66,ALL,WUCNBG
01/01/2022,KR,3637,4620,9730,76,112,97,ALL,CNBG
01/01/2022,KR,6601,4957,9381,90,10,65,ALL,UNK
01/01/2022,KR,3594,2002,3785,50,447,15,ALL,ZFUZ
01/01/2022,KR,3820,2603,4534,47,723,79,Age<18,AZ
01/01/2022,KR,4562,6780,8828,99,484,72,Age<18,BECNBG
01/01/2022,KR,7383,5143,9215,4,22,51,Age<18,BHACOV
01/01/2022,KR,4241,9138,9898,87,222,99,Age<18,CHU
01/01/2022,KR,9243,8733,2867,84,67,54,Age<18,COM
01/01/2022,KR,7712,375,3805,39,241,70,Age<18,CVAC
01/01/2022,KR,6811,2684,4807,41,97,43,Age<18,JANSS
01/01/2022,KR,1624,1517,9881,62,663,91,Age<18,HAYATVAC
01/01/2022,KR,2249,7015,2129,75,920,76,Age<18,MOD
01/01/2022,KR,8790,3239,8418,91,171,44,Age<18,NVX
01/01/2022,KR,4736,85,8444,29,171,41,Age<18,NVXD
01/01/2022,KR,53,9291,282,67,77,50,Age<18,QAZVAQ
01/01/2022,KR,8593,1439,9526,34,41,94,Age<18,SGSK
01/01/2022,KR,5935,8614,2825,49,947,51,Age<18,SIICOV
01/01/2022,KR,3225,294,57,7,549,22,Age<18,SIN
01/01/2022,KR,2634,6723,6369,98,145,15,Age<18,SPU
01/01/2022,KR,3186,8312,4469,54,717,50,Age<18,SPUL
01/01/2022,KR,2372,6644,597,61,888,77,Age<18,SRCVB
01/01/2022,KR,5534,3116,4382,32,144,74,Age<18,WUCNBG
01/01/2022,KR,9005,5644,5569,29,265,95,Age<18,CNBG
01/01/2022,KR,665,7763,2694,27,354,71,Age<18,UNK
01/01/2022,KR,373,1019,6646,64,545,86,Age<18,ZFUZ
01/01/2022,KR,2166,768,5496,68,978,41,HCW,AZ
01/01/2022,KR,4677,3763,871,70,228,5,HCW,BECNBG
01/01/2022,KR,7193,7726,898,18,4,72,HCW,BHACOV
01/01/2022,KR,8919,6287,7123,14,769,12,HCW,CHU
01/01/2022,KR,4581,5913,588,49,868,98,HCW,COM
01/01/2022,KR,9164,1189,6939,88,595,80,HCW,CVAC
01/01/2022,KR,2557,4676,8321,44,52,70,HCW,JANSS
01/01/2022,KR,9209,3861,198,95,787,59,HCW,HAYATVAC
01/01/2022,KR,1700,2351,5026,57,75,51,HCW,MOD
01/01/2022,KR,7801,179,5267,18,555,77,HCW,NVX
01/01/2022,KR,4177,6850,9424,98,413,55,HCW,NVXD
01/01/2022,KR,9992,7385,1436,21,29,17,HCW,QAZVAQ
01/01/2022,KR,4547,8571,3764,70,383,35,HCW,SGSK
01/01/2022,KR,7133,9198,9829,70,667,28,HCW,SIICOV
